gpkg_fid,Name,Alt Name,Description,Canyon Region,Quality (1-10),Longest Abseil (m),Num Abseils,Technical Difficulty (B/BG/I/A),Remoteness/Accessbility (VEA/EA/M/R/VR),Distance,Flow Accumulation,Wetsuit Reccomendation (N/R/SR),Time,Source,Source Link,Image Path,longitude,latitude
94,Gobsmacker Canyon,Lower Bowens Creek North Canyon,,Bowens Creek Canyons,,,,,,,,,,,,,150.3932,-33.5215
95,Bowens Creek North (Upper),,,Bowens Creek Canyons,,,,,,,,,,,,,150.365,-33.5221
