gpkg_fid,Name,Alt Name,Description,Canyon Region,Quality (1-10),Longest Abseil (m),Num Abseils,Technical Difficulty (B/BG/I/A),Remoteness/Accessbility (VEA/EA/M/R/VR),Distance,Flow Accumulation,Wetsuit Reccomendation (N/R/SR),Time,Source,Source Link,Image Path,long,lat
207,Spiderman Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3878784,-33.0310338
208,Escapable Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3803704,-33.0356898
209,Wagtail Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3135094,-33.0072458
210,Donut machine Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3638074,-33.0049488
211,Jam Jar Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.2879464,-33.0277308
212,Spider Baby Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3673824,-33.0312368
213,Groper's Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3082364,-33.0122488
214,Excalibur Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3622864,-33.0115968
218,Marathon Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3195164,-33.0947778
219,Pegleg Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3568374,-33.0867008
220,Trapped Canyon (RJ),,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3451964,-33.0606398
242,Lunchtime Canyon,,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3040001,-32.9582459
101,Butterbox Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3970034,-33.6304018
102,Fortress Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3593034,-33.6445018
103,Arethusa Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3467034,-33.6589018
104,Alpheus Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3504034,-33.6580018
105,Jugglers Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3294034,-33.6592018
106,Grand Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3179034,-33.6563018
123,Yileen Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3290844,-33.5702188
124,Wotta Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3261544,-33.5543468
125,Birrabang Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3242884,-33.5462598
126,Better Offer Canyon (Magnifying Glass),,,Grose Valley Canyons,,,,,,,,,,,,,150.3155064,-33.5475588
127,Dalpura Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.3095054,-33.5397758
128,Jungaburra Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.2968594,-33.5347048
129,Koombanda Canyon,,,Grose Valley Canyons,,,,,,,,,,,,,150.2806934,-33.5301978
